Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Company Type,Full Description,Funding Status,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Number of Investors,Number of Lead Investors,Top 5 Investors,IPO Status,Stock Symbol,Stock Symbol URL,CB Rank (Organization),CB Rank (Company),CB Rank (School),Price,Price Currency,Price Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Industry Groups,Number of Employees
"WISHUPON, Inc.",https://www.crunchbase.com/organization/wishupon-inc,"Apps, Artificial Intelligence, E-Commerce, Fashion, Mobile, Shopping","Seoul, Seoul-t'ukpyolsi, South Korea",WISHUPON is a universal shopping wishlist.,,2015.6.9,day,For Profit,"WISHUPON is a Commerce AI startup. We are making a universal shopping wishlist app which is Pinterest for shoppers. We allow you to create and save their wishlist in one place from any online stores. Also, you could get sale alerts for your wishlist.  We are at STATION F in Paris.",Seed,5,,,,2019.1.21,Seed,,,,5,,"NEOPLY, KEB Hana Bank, Lotte Accelerator, Seoul Business Agency, Small and Medium Business Administration",Private,,,"135,581","128,506",,,,,,,,,,,"Apps, Artificial Intelligence, Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Mobile, Science and Engineering, Software",1岿 10老
KSNET,https://www.crunchbase.com/organization/ksnet,Financial Services,"Seoul, Seoul-t'ukpyolsi, South Korea",KSNET operates as a value-added network service provider for credit card and banking transaction processing in South Korea.,,1999.1.1,year,For Profit,"KSNET operates as a value-added network service provider for credit card and banking transaction processing in South Korea. The company offers electronic payment gateway services for e-commerce businesses. It provides credit status inquiry and approval services for the transactions incurred in stores using the credit inquiry devices, or Internet shopping malls using the electronic payment services.",M&A,,,,,,,,,,,,,Private,,,"135,597","128,520",,,,,,,,,,,Financial Services,1岿 10老
S-Oil,https://www.crunchbase.com/organization/s-oil,Energy,"Seoul, Seoul-t'ukpyolsi, South Korea",S-Oil Corporation is a petroleum and refinery company.,,1976.1.1,year,For Profit,S-Oil Corporation is a petroleum and refinery company.,IPO,,,,,,,,,,,,,Public,10950,https://www.crunchbase.com/ipo/s-oil-ipo--9e865953,"135,638","128,557",,,,,,,,,,,Energy,1001-5000
ONEPLE,https://www.crunchbase.com/organization/oneple,"Communities, Mobile, Software, Travel","Seoul, Seoul-t'ukpyolsi, South Korea","Oneple, a Korean developer of web and mobile services, provides individuals with suitable places to live and travel alone.",,2013.1.1,year,For Profit,"Oneple is a Korean developer of web and mobile services. Its services analyze location-based information patterns to provide individuals with suitable places to live and travel alone. Oneple was established in August 2013 in Seoul, Korea.",,1,50000000,KRW,45826,2013.5.7,Grant,,,,1,,Yonsei University,Private,,,"135,650","128,568",,,,,,,,50000000,KRW,45826,"Community and Lifestyle, Mobile, Software, Travel and Tourism",1岿 10老
XELIN Corporation,https://www.crunchbase.com/organization/xelin-corporation,Manufacturing,"Seoul, Seoul-t'ukpyolsi, South Korea",Ultrafast laser application development for semiconductor,,2019.9.17,day,For Profit,"XELIN is a company that develops laser technology. We focus on developing our own technology with creative ideas and do our best to get differentiated results. Target the semiconductor market, where laser technology is most commonly used. We are increasing the possibility through communication with numerous global laser companies and engineers.",Seed,2,10000,USD,10000,2020.2.4,Seed,10000,USD,10000,1,,SparkLabs Accelerator,Private,,,"135,689","128,602",,,,,10000,USD,10000,10000,USD,10000,Manufacturing,1岿 10老
NEOPLY,https://www.crunchbase.com/organization/neoply,"Angel Investment, Blockchain, Consulting, Finance, Incubators, Information Technology, Internet, Venture Capital","Bundangdong, Kyonggi-do, South Korea",NEOPLY is a startup accelerator based in South Korea.,,2008.4.1,day,For Profit,"NEOPLY, a Seoul-based startup accelerator, is focused on investing in South Korean startups.  NEOPLY provides mentoring, angel-funding and workspace for startups . NEOPLY has incubated more than 40 startups since 2008. NEOPLY's first exit was with SundayToz, set to be listed on the KOSDAQ in 2013.",,,,,,,,,,,,,,Private,,,"136,203","129,059",,,,,,,,,,,"Financial Services, Information Technology, Internet Services, Lending and Investments, Other, Professional Services",11-50
Seoul Store,https://www.crunchbase.com/organization/seoul-store,"E-Commerce, Retail, Shopping","Yeoksamdong, Seoul-t'ukpyolsi, South Korea",Seoul Store is an e-commerce site for buying apparel and accessories for men and women.,,2015.3.2,day,For Profit,,,,,,,,,,,,,,,Private,,,"136,411","129,250",,,,,,,,,,,Commerce and Shopping,11-50
SmileGate,https://www.crunchbase.com/organization/smilegate,"Business Development, Gaming, Online Portals, Video Games","Seongnam, Kyonggi-do, South Korea","SmileGate is an online game development company that offers CrossFire, a first-person shooter (FPS) title.",,2002.1.1,year,For Profit,SmileGate is an online game development company known for its FPS (first-person shooter) title 'CrossFire.',,,,,,,,,,,,,,Private,,,"136,561","129,385",,,,,,,,,,,"Gaming, Internet Services, Professional Services",501-1000
LINE Plus Corporation,https://www.crunchbase.com/organization/line-plus-corporation,Software,"Seongnam, Kyonggi-do, South Korea",It supports LINE_ global business development.,$100M to $500M,2013.1.1,year,For Profit,"LINE Plus Corporation was established in March 2013 in South Korea as a subsidiary of LINE Corporation. It supports LINE_ global business development with programmers, designers, marketers, sales personnel, and PR managers of 50 different nationalities working together.",,,,,,,,,,,,,,Private,,,"136,911","129,697",,,,,,,,,,,Software,5001-10000
Freelancer,https://www.crunchbase.com/organization/freelancer-e6ec,"Crowdsourcing, Freelance","Mapodong, Seoul-t'ukpyolsi, South Korea",Freelancer provides a crowdsourcing platform for freelancers.,,2017.10.18,day,For Profit,,,,,,,,,,,,,,,Private,,,"136,943","129,725",,,,,,,,,,,"Other, Professional Services",
AtMarket,https://www.crunchbase.com/organization/atmarket,"E-Commerce, Financial Services, Insurance, Payments","Seoul, Seoul-t'ukpyolsi, South Korea",AtMarket is an online platform that enables users to compare the prices of financial products such as insurance schemes and loans.,,2014.4.1,day,For Profit,"AtMarket (畴_旒) is an online platform that enables users to compare the prices of financial products such as insurance schemes, mortgage rates, credit card rates, and loans. AtMarket was established in April 2014.",,,,,,,,,,,,,,Private,,,"137,089","129,852",,,,,,,,,,,"Commerce and Shopping, Financial Services, Payments",1岿 10老
Carver Korea,https://www.crunchbase.com/organization/carver-korea-co-ltd,"Beauty, Cosmetics, Manufacturing","Seoul, Seoul-t'ukpyolsi, South Korea","Carver Korea Co., Ltd. is a manufacturer of cosmetic products.",,1999.1.1,year,For Profit,"Carver Korea is a leading Korean cosmetics company that owns a number of brands including A.H.C (Aesthetic Hydration Cosmetics), Shara, and Vivito spanning sectors including skincare, make-up and fashion.",M&A,,,,,,,,,,,,,Private,,,"137,331","130,077",,2270000000,EUR,2691292187,,,,,,,"Consumer Goods, Manufacturing",51-100
PesaMall,https://www.crunchbase.com/organization/pesamall,E-Commerce,"Seoul, Seoul-t'ukpyolsi, South Korea","PesaMall is an e-commerce venture that aims to connect people in East Africa to high quality products sourced from Korea, Japan, and China.",,2014.11.1,month,For Profit,"PesaMall was founded in November of 2014 by a team of Kenyan and Korean entrepreneurs with extensive experience in international trade and tech. After working together to import and export an assortment of goods, ranging from live lobsters to manufactured textiles, the team quickly identified the untapped potential of e-commerce in East Africa. As such, PesaMall is the world's first cross-border e-commerce venture designed for the East African market. PesaMall allows users to use mPesa, the world's leading mobile money platform where almost 40% of Kenya's GDP is transacted, to purchase genuine and high-quality products sourced from Korea, Japan, and China. Further, PesaMall has partnered with Nippon Express to provide world-class logistic and delivery services to areas in East Africa that cannot be reached by Amazon, Taobao, and other leading e-commerce platforms. By positioning itself to cater to the people of East Africa, PesaMall hopes to capture and further the demand and potential of the East African consumer economy in the years to come.",Seed,2,1000000,USD,1000000,2015.3.19,Angel,1000000,USD,1000000,1,,"WooriDoori Co., Ltd.",Private,,,"137,927","130,604",,,,,1000000,USD,1000000,1000000,USD,1000000,Commerce and Shopping,11-50
A33 Studio,https://www.crunchbase.com/organization/a33-studio,"Gaming, Internet, Mobile, Online Games, Robotics, Software, Web Development","Seongnam, Kyonggi-do, South Korea",Mobile game developer A-33 Studio,,2014.8.8,day,For Profit,"A-33 Studio team is led by the chief executive officer _im Dong Sun who was in charge of the development, launch and operation of _ounter Strike Online which is one of the top 3 online FPS games in Korea. The team consists of developers who have worked together for _S Online and _ombat Arms at Nexon, one of the top online game makers in the world.",Seed,1,700000,USD,700000,2014.12.16,Seed,700000,USD,700000,1,,Kakao Ventures,Private,,,"138,058","130,718",,,,,700000,USD,700000,700000,USD,700000,"Gaming, Hardware, Internet Services, Mobile, Science and Engineering, Software",1岿 10老
ROOOMERS,https://www.crunchbase.com/organization/rooomers,"Interior Design, Lifestyle","Seoul, Seoul-t'ukpyolsi, South Korea",ROOOMERS is a Korean startup that offers a lifestyle magazine and curation services specifically for people living alone.,,2012.9.11,day,For Profit,"ROOOMERS (耄ǜ) is a Korean startup that offers a lifestyle magazine and curation services specifically for people living alone. It provides articles and information on interior designs, products, events, and other content that may be of interest to people living on their own.",,1,35000000,KRW,30778,2013.7.1,Undisclosed,35000000,KRW,30778,,,,Private,,,"138,601","131,202",,,,,35000000,KRW,30778,35000000,KRW,30778,"Community and Lifestyle, Design, Real Estate",1岿 10老
Eight Panda,https://www.crunchbase.com/organization/eight-panda,"Gaming, Mobile, Online Games","Seoul, Seoul-t'ukpyolsi, South Korea",Eight Panda consists of developers who have the experience in title development of major online games in Korea.,,2013.1.1,year,For Profit,"Eight Panda consists of developers who have the experience in title development of major online games in Korea. With 10 years experience in game development, conducting from initial stage to final service, new type of RPG customised for mobile will be presented.",Early Stage Venture,1,2400000,USD,2400000,2015.1.15,Series A,2400000,USD,2400000,2,2,"Korea Investment Partners, Ankang Venture Investment",Private,,,"138,886","131,460",,,,,2400000,USD,2400000,2400000,USD,2400000,"Gaming, Mobile",101-250
Mapiacompany Inc.,https://www.crunchbase.com/organization/mapiacompany,"Communities, Information Technology, IT Management, Music, Social Media Advertising, Social Media Management, Social Media Marketing","Seoul, Seoul-t'ukpyolsi, South Korea","Mapiacompany is a global digital music business operating on 3 independent platforms, Mapianist, MyMusicSheet and KPopPiano.",,2015.1.1,year,For Profit,"Mapiacompany, the first and biggest online piano music platform in South Korea, was co-founded by three young entrepreneurs in 2015, whose average age is about 22 (2018). In recognition of the company_ accomplishments, the three co-founders was bestowed with the laurel of  Forbes 30 under 30 ASIA 2018 Reference on Forbes:  https://www.forbes.com/profile/mapiacompany-inc/?list=30under30-asia-media-marketing-advertising#208e305df7fe  Mapiacompany has grown into an online global community-based music business with more than 30 piano-related social media channels and over 2 millions global users, plus music artists from over 30 nations. Mapiacompany runs three subsidiary music business websites AS FOLLOWS: Mapianist (www.mapianist.com) MyMusicSheet (www.mymusicsheet.com) KPopPiano (www.kpoppiano.com)",,,,,,,,,,,,,,Private,,,"139,228","131,774",,,,,,,,,,,"Advertising, Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Music and Audio, Sales and Marketing",11-50
FinShot,https://www.crunchbase.com/organization/finshot,"Finance, Financial Services","Mapo, Seoul-t'ukpyolsi, South Korea",FinShot provides financial services platform.,,2014.1.1,day,For Profit,,,,,,,,,,,,,,,Private,,,"139,597","132,106",,,,,,,,,,,Financial Services,1岿 10老
LS Group,https://www.crunchbase.com/organization/ls-group,,"Seoul, Seoul-t'ukpyolsi, South Korea","LS Group is a South Korean chaebol. It is composed of LS Corp, E1, and YESCO. ""LS Corp."" is a holding company.",$1B to $10B,1936.1.1,year,For Profit,,IPO,,,,,,,,,,,,,Public,6260,https://www.crunchbase.com/ipo/ls-group-ipo--4f85ad17,"139,599","132,108",,,,,,,,,,,,
HappyFactory,https://www.crunchbase.com/organization/happyfactory,"E-Learning, Education, Internet, Telecommunications","Seoul, Seoul-t'ukpyolsi, South Korea",HappyFactory provides mobile and web services for educational institutions and parents to communicate with one another through platforms.,,2012.1.1,year,For Profit,"HappyFactory (_车瓿奠_) is a Korean provider of mobile and web services that enable educational institutions, teachers, and parents to communicate with one another through platforms. Its product portfolio includes Kids Notes, a smart announcement app for kindergartens, elementary schools, and nurseries.   HappyFactory was established in November 2012 in Seoul, Korea.",Seed,1,100000000,KRW,85427,2012.6.10,Seed,100000000,KRW,85427,,,,Private,,,"139,933","132,410",,,,,100000000,KRW,85427,100000000,KRW,85427,"Education, Hardware, Internet Services, Software",1岿 10老
Samyang Food,https://www.crunchbase.com/organization/samyang-food,"Food and Beverage, Manufacturing","Yongsan, Seoul-t'ukpyolsi, South Korea","Samyang Food is a food manufacturer that produces ramen, snacks and dairy products.",,1961.9.15,day,For Profit,,,,,,,,,,,,,,,Private,,,"140,530","132,950",,,,,,,,,,,"Food and Beverage, Manufacturing",
INTELLIZ,https://www.crunchbase.com/organization/intelliz,"Artificial Intelligence, Computer Vision, Information and Communications Technology (ICT), Machine Learning, Manufacturing","Seocho, Seoul-t'ukpyolsi, South Korea",Intelliz specializes in researching and developing AI solutions for manufacturing industries.,,2016.3.21,day,For Profit,"INTELLIZ stands for Intelligent Technologies. It is a business specialized in artificial intelligence technology. First, we will use artificial intelligence technology to contribute to the IT infrastructure, efficient process management and production yield improvement, and increased product productivity and competitiveness of small and medium manufacturing companies.",Seed,1,,,,2020.3.22,Seed,,,,,,,Private,,,"140,727","133,125",,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Manufacturing, Science and Engineering, Software",1岿 10老
Bdsdiet,https://www.crunchbase.com/organization/bds-diet,"Online Portals, Real Estate, Real Estate Investment","Seoul, Seoul-t'ukpyolsi, South Korea",Bdsdiet provides real estate brokerage services through a combination of web platforms and access to live agents in Korea Seoul.,,2014.12.1,day,For Profit,"Bdsdiet is a technology-powered real estate brokerage that represents people buying and selling homes. Founded and run by technologists. bdsdiet.com features all of the for-sale-by-owner properties. Bdsdiet real estate agents work with the company's team of engineers to create tools that make the buying and selling process easier. The service is launched in December 2014. Bdsdiet's main competitors include real estate search services like Zigbang and Naver, and traditional real estate brokerages. None of their competitors combine online real estate search/technology tools and brokerage services. Customers can find historical price data, apartment review written by neighbors and everything about apartments. The Company was founded by Changwook Kim and is based in Seoul.",Seed,2,,,,2016.8.12,Seed,,,,1,,Strong Ventures,Private,,,"141,291","133,628",,,,,300000,USD,300000,300000,USD,300000,"Financial Services, Internet Services, Real Estate",1岿 10老
Seegene,https://www.crunchbase.com/organization/seegene,Biotechnology,"Seoul, Seoul-t'ukpyolsi, South Korea","Seegene, Inc. is an in-vitro diagnostics (IVD) company that has been turning concepts into products through its pioneering R&D activities.",,2000.1.1,year,For Profit,"Seegene has developed instruments for molecular diagnostics based on OEM partnership. In addition to that Seegene has developed its own automation system including DNA extraction, PCR reagent dispenser, auto electrophoresis, POCT, Real-time PCR, decapper and much more for any necessary supplements for molecular diagnosis.",,,,,,,,,,,,,,Private,,,"141,975","134,247",,,,,,,,,,,"Biotechnology, Science and Engineering",51-100
RoughHands,https://www.crunchbase.com/organization/roughhands,"Gaming, Mobile, Online Games","Seoul, Seoul-t'ukpyolsi, South Korea",RoughHands is a Korean mobile games developer specializing in real-time online games such as Cloud Jumping and Story of Ellen.,,2013.7.3,day,For Profit,"RoughHands (_胳_) is a Korean mobile games developer specializing in real-time online games. Its products include Cloud Jumping, a mobile multiplayer casual racing game, and Story of Ellen, a mobile multiplayer online role-playing game (MORPG).",,1,50000000,KRW,47287,2013.11.20,Undisclosed,50000000,KRW,47287,,,,Private,,,"142,040","134,310",,,,,50000000,KRW,47287,50000000,KRW,47287,"Gaming, Mobile",1岿 10老
Botem,https://www.crunchbase.com/organization/botem,"Mobile Apps, Security, Sensor","Seoul, Seoul-t'ukpyolsi, South Korea",Botem creates state of the art human recognition sensor devices that determine people_ movement direction.,,2004.1.1,year,For Profit,"Botem creates state of the art human recognition sensor devices that determine people_ movement direction. The Botem Smart Switch can count the number of people in a room by collecting data on people moving in and out. Applications include building management, disaster prevention and security systems. Botem is the largest automatic occupancy sensor in South Korea and owns 8 international patents.",,1,,,,2014.11.12,Venture - Series Unknown,,,,1,,Digital Entertainment Ventures (DEV),Private,,,"142,147","134,408",,,,,,,,,,,"Apps, Hardware, Mobile, Privacy and Security, Software",1岿 10老
PayLetter,https://www.crunchbase.com/organization/payletter,"Financial Services, Internet, Software","Seoul, Seoul-t'ukpyolsi, South Korea","PayLetter is a provider of online billing and payment solutions in North America, Europe, and Asia.",,2001.1.1,year,For Profit,"Payletter, Inc. is a global leader with the world's leading online billing and payment service capabilities. Founded in 2001, Billing and Payment Technologies has grown into a core competency that supports the completion of Internet business.",,,,,,,,,,,,,,Private,,,"142,657","134,867",,,,,,,,,,,"Financial Services, Internet Services, Software",51-100
goormIDE,https://www.crunchbase.com/organization/goormide,"Cloud Computing, Information Technology, Software","Seongnam, Kyonggi-do, South Korea",goorm create an ecosystem for developers growth that everyone can be a developer.,,2013.1.1,year,For Profit,goormIDE is a powerful cloud IDE service maximizing the productivity for developers and teams.,,,,,,,,,,,,,,Private,,,"142,659","134,869",,,,,,,,,,,"Information Technology, Internet Services, Software",11-50
POSTYPE,https://www.crunchbase.com/organization/postype,"Content, E-Commerce, Information Technology","Daechidong, Seoul-t'ukpyolsi, South Korea",POSTYPE is a content open market where anyone can sell and buy digital content.,,2015.7.17,day,For Profit,,,,,,,,,,,,,,,Private,,,"142,967","135,152",,,,,,,,,,,"Commerce and Shopping, Information Technology, Media and Entertainment",1岿 10老
Colango,https://www.crunchbase.com/organization/colango,"Content, Education","Seoul, Seoul-t'ukpyolsi, South Korea",Colango A language teaching tool helping you engage your students with speaking exercises and online content.,Less than $1M,2013.1.1,year,For Profit,"Colango is an EdTech startup that aims to empower language teachers with a social learning platform on web and mobile. On Colango, teachers can use their own content and numerous online resources to create personalized learning assignments for their students. Teachers can view student reports to quickly gain a better understanding of student performance and weaknesses. This allows them to respond to individual student needs before it_ too late.  Colango has an international team with a strong technical background and years of professional experience. With strong ties in North-American and European education trends, Colango is building a globally viable product together with great teachers around the world.",Seed,2,15000,USD,15000,2014.5.26,Seed,15000,USD,15000,2,,"Aviram Jenik, KOISRA Seed Partners",Private,,,"143,806","135,903",,,,,15000,USD,15000,15000,USD,15000,"Education, Media and Entertainment",1岿 10老
Saramin,https://www.crunchbase.com/organization/saramin,"Employment, Human Resources, Recruiting","Bucheon, Kyonggi-do, South Korea",Saramin is an online recruiting platform.,,2002.3.1,day,For Profit,,,,,,,,,,,,,,,Private,,,"144,175","136,249",,,,,,,,,,,"Administrative Services, Professional Services",101-250
Yuhan Corporation,https://www.crunchbase.com/organization/yuhan-corporation,"Biotechnology, Health Care, Pharmaceutical","Seoul, Seoul-t'ukpyolsi, South Korea","Yuhan Co, Ltd. is a South Korean pharmaceutical and chemical company.",$500M to $1B,1926.1.1,year,For Profit,,,,,,,,,,,,,,,Private,,,"144,184","136,258",,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",1001-5000
Piclick,https://www.crunchbase.com/organization/piclick,"Advertising, Artificial Intelligence, Content","Yeoksamdong, Seoul-t'ukpyolsi, South Korea",Piclick is an AI platform that matches media content and product details in photographs or videos.,,2013.7.25,day,For Profit,,,,,,,,,,,,,,,Private,,,"145,296","137,250",,,,,,,,,,,"Advertising, Artificial Intelligence, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",
42Maru,https://www.crunchbase.com/organization/42maru,"Artificial Intelligence, Internet of Things, Knowledge Management, Machine Learning, Mobile Devices, Robotics, Smart Home","Seoul, Seoul-t'ukpyolsi, South Korea","42Maru builds a question answer system that finds a single, specific, correct answer based on Deep Learning ",,2015.10.22,day,For Profit,"1) What we do   We develop a deep learning based QA(Question Answer) system that understands the true intention of the question and provide a Unique Correct Answer 2) Why   AI based Smart machines are penetrating into our everyday lives, there are signals of paradigm shift from the traditional web search system to QA system. 3) Market Size      Globally expecting a $50bn market size by year 2025 (+50% YoY).  50% of all searches will be done by voice searches by year 2020. 4) Technology      We have core technologies in IR(Information Retrieval), Triple, MRC(Machine Reading Comprehension), Paraphrasing, NLU/NLP(Natural Language Understanding/Processing) etc. 5) Core Competency      Our system is different to the existing system because we have a high accuracy, self expansion of KB(knowledge base), low GPU cost, quick response.   This is the reason why we have the globally the first deep learning based QA commercial version in Korean.  We have experience in a commercial version of sematic search which has similar logics with QA system and also have multi-language web-search experience as well.  Strong team with CEO having +20yrs of related work experience. 6) Target Markets      Connected Cars, Smart Speakers, Home IoT, Home Robots, Smart Toys, Personal Assistants, Chatbot Apps, Intranet, KMS. 7) Business Model      Planning B2C penetration through B2B2C Alliance and set for global expansion with multi-language support. 8) References      B2B projects with some major TELCOs in Korea, such as LG and Korea Telecom, and also with big ship building industries and financial institutions. 9) Competitors       Competitors have QA systems based on either Rule-based or Inference based which has limitations on commercialization. 10) Team      CEO: Pioneer in the search engine industry with +20 years of experiences, deep learning expert  Total member of 27 (22 QA specialists)  (hiring currently more)",Seed,1,,,,2018.7.16,Pre-Seed,,,,2,1,"Techstars, Techstars London Accelerator",Private,,,"145,677","137,605",,,,,,,,,,,"Administrative Services, Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Internet Services, Mobile, Other, Real Estate, Science and Engineering, Software",11-50
Hanmi Pharmaceutical,https://www.crunchbase.com/organization/hanmi-pharmaceutical,"Biotechnology, Health Care","Seoul, Seoul-t'ukpyolsi, South Korea","Established in 1973 in Korea, Hanmi Pharmaceuticals now is one of the top 5 pharmaceutical companies in terms of revenue, and the most R&D",,1973.1.1,year,For Profit,"Established in 1973 in Korea, Hanmi Pharmaceuticals now is one of the top 5 pharmaceutical companies in terms of revenue, and the most R&D focused company with the highest R&D investment for several years. Hanmi has been successful for a few decades with high flexibility, continuously changing its market/development strategy from first generics to IMD & FDC (Incrementally Modified Drug and Fixed Dose Combination) to new drug development including innovative small molecules and biologics. During the period of significant changes, Hanmi made multiple strategic collaboration relationships with multinational companies and biotech companies. Based on the success in 1980s and 1990s, Hanmi started its Chinese operation in 1996 with establishment of Beijing Hanmi. Now, Beijing Hanmi grew as a well-localized and well-settled Chinese company with more than 1,300 staffs including R&D, sales / marketing, and manufacturing experts and significant growth rate higher than 20% every year. Currently, Hanmi and Beijing Hanmi is closely collaborating on various business opportunities and new drug development projects as well as sales and marketing in Chinese territories. As the only Asian company with significant presence both in Korea and China, as the most R&D focused company with number of clinical stage projects with competitiveness, and as the company with open innovation based on multiple development/marketing collaborations, Hanmi is trying to develop and provide differentiated treatment options to patients suffering from various disease.",,,,,,,,,,,,,,Private,,,"145,745","137,669",,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",5001-10000
Korea Times,https://www.crunchbase.com/organization/korea-times,"News, Publishing","Seoul, Seoul-t'ukpyolsi, South Korea","The Korea Times is the oldest independent English daily newspaper in Korea, first published in November 1, 1950.",$1M to $10M,1950.1.1,year,For Profit,"The Korea Times is the oldest independent English daily newspaper in Korea, which has served as Korea's bridge to the world since November 1, 1950.   Published by one of the largest-circulation newspaper companies in Korea, the Hankook Ilbo, the newspaper provides in-depth stories about past and present events in Korea as well as a look into the country's future. The newspaper caters a range of readers such as Koreans, foreign businessmen, diplomats and tourists with its constructive, well-balanced coverage ranging from socio-politics, economics and culture to sports.   The Korea Times, which has a strong thread of continuity in Korea's economic development keeping the foreign community involved in and informed about the rapid changes occurring in the country, is now available in more than 160 countries across the globe.   The Korea Times is based in Seodaemun-gu, Seoul, Korea, and is available in the digital format under the URL: http://www.koreatimes.co.kr.",,,,,,,,,,,,,,Private,,,"145,828","137,746",,,,,,,,,,,"Content and Publishing, Media and Entertainment",251-500
Pandora.TV,https://www.crunchbase.com/organization/pandora-tv,"Content, Video, Video Streaming","Seoul, Seoul-t'ukpyolsi, South Korea",Pandora TV is a video sharing website that hosts user-generated content.,$1M to $10M,2004.10.1,day,For Profit,"Pandora TV is a User Generated Content based video portal and personal broadcasting service offering VOD and live video streaming for anybody in the world. Founded in October 2004, Pandora TV is a leading player in Korean video space. The service offers unlimited upload size and storage space, Open API for standard video platform, personalized broadcasting station with individual user's own Channel and international search that gathers related videos all around the world and shows. Pandora TV raised over $16000000 million from Silicon Valley venture capitals_ne lead by Altos Ventures and another by DCM_n two consecutive funding rounds in 2006 and 2007, which is the largest foreign investment made on Korean Internet start-ups. In 2007, Pandora TV won the award of Red Herring Asia 100 and Red Herring Global 100. Pandora TV newly launched a global service for all international users on April, 2008. Pandora TV also plans to launch video services across all devices and platforms in near future. Expect to meet us anywhere ranging from IPTV to PDA.",Early Stage Venture,2,10000000,USD,10000000,2007.4.3,Series B,10000000,USD,10000000,4,1,"DCM Ventures, Altos Ventures, STIC International, Saehan",Private,,,"145,852","137,766",,,,,16000000,USD,16000000,16000000,USD,16000000,"Content and Publishing, Media and Entertainment, Video",51-100
Additor,https://www.crunchbase.com/organization/additor,"Apps, B2B, B2C, Collaboration, Document Management, Enterprise, Knowledge Management, Productivity Tools, SaaS","Seoul, Seoul-t'ukpyolsi, South Korea",Additor is the collaborative knowledge base for distributed teams.,,2017.11.8,day,For Profit,"Additor is an information technology company that provides a web-based platform that helps companies, organizations, and businesses to collect and organize their team's scattered knowledge. Its platform utilizes SaaS, Data, and productivity tools. The company was founded in 2017 and headquartered in Seoul, Korea.",Seed,2,,,,2018.7.16,Pre-Seed,,,,3,,"Techstars, Mega Investment, Yoonmin Foundation",Private,,,"146,772","138,608",,,,,,,,,,,"Administrative Services, Apps, Information Technology, Other, Software",1岿 10老
Daewoo International,https://www.crunchbase.com/organization/daewoo-international,"Finance, Machinery Manufacturing, Project Management","Seoul, Seoul-t'ukpyolsi, South Korea",Korea_ largest trading company.,,2000.1.1,year,For Profit,"Daewoo International has been taking a leading role in the center of Korean national economic development through the outstanding export enlargement. Renamed as Daewoo Corporation in 1982, it began to devote itself to international trade. Daewoo International Corp. was a spin-off of Daewoo Corporation in December 2000, and specialized in international trade, project organizing, and resource development. Subsequently, Daewoo International Corp. reported remarkable annual sales growth of 30% prior to being incorporated into POSCO Group in 2010.",M&A,,,,,,,,,,,,,Public,47050,https://www.crunchbase.com/ipo/daewoo-international-ipo--474ff022,"146,966","138,787",,,,,,,,,,,"Administrative Services, Financial Services, Manufacturing, Other",10001+
Samsung Heavy Industries,https://www.crunchbase.com/organization/samsung-heavy-industries,Industrial Engineering,"Seoul, Seoul-t'ukpyolsi, South Korea","Samsung Heavy Industries provides shipbuilding and offshore development, pioneers new technologies and industry-leading services.",,1974.1.1,year,For Profit,"Samsung Heavy Industries has successfully completed many of the world's first and largest shipbuilding and offshore EPC projects, with sole aim to establish global leadership in each of the participating market segments. Most notably, it has achieved unbeatable leadership in the high-tech high-value shipbuilding sector by maintaining the world_ No. 1 share in the drill ship, LNG carrier and FPSO markets. The company has developed and built the first Arctic Shuttle-Tanker and LNG-FPSOs in the world, and has pioneered new market developments by developing innovative products such as LNG-FSRU, and various ships for polar applications, Arctic Ice-Breaker Container Ships. In the offshore facilities sector, the company has fortified its reputation through its excellent technology and rich experience, by successfully delivering the world_ largest semi-submerged offshore drilling platform.",,,,,,,,,,,,,,Private,,,"147,159","138,960",,,,,,,,,,,"Manufacturing, Science and Engineering",10001+
Toyou's Dream,https://www.crunchbase.com/organization/toyou-s-dream,"Broadcasting, Film, Media and Entertainment","Seoul, Seoul-t'ukpyolsi, South Korea",Toyou's Dream is a broadcasting and media production company.,,2009.4.7,day,For Profit,,,,,,,,,,,,,,,Private,,,"147,524","139,290",,,,,,,,,,,"Media and Entertainment, Video",11-50
